,Cities,Country,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Max Temp
0,port alfred,za,-33.5906,26.891,46.9,80.0,88.0,18.01,46.9
1,kyaukse,mm,21.6,96.1333,97.56,48.0,93.0,14.5,97.56
3,tuatapere,nz,-46.1324,167.6908,49.73,89.0,100.0,17.43,49.73
4,nikolskoye,ru,59.7035,30.7861,61.5,92.0,99.0,5.17,61.5
5,rikitea,pf,-23.1203,-134.9692,67.71,58.0,71.0,11.97,67.71
6,east london,za,-33.0153,27.9116,47.41,82.0,52.0,18.63,47.41
8,khatanga,ru,71.9801,102.4743,82.47,32.0,71.0,12.33,82.47
9,buluang,ph,10.4667,123.9833,90.0,68.0,55.0,3.44,90.0
10,tuktoyaktuk,ca,69.444,-133.032,47.26,96.0,100.0,12.3,47.26
11,upernavik,gl,72.7868,-56.1549,44.46,96.0,100.0,15.95,44.46
12,saint george,bm,32.3817,-64.6781,81.82,80.0,0.0,12.66,81.82
13,cape town,za,-33.929,18.4174,47.44,65.0,18.0,20.11,47.44
15,erzin,ru,50.26,95.1583,79.23,35.0,22.0,8.16,79.23
16,sitka,us,37.175,-99.6516,83.05,33.0,33.0,21.12,83.05
17,plettenberg bay,za,-34.0528,23.3716,46.4,80.0,94.0,8.39,46.4
18,mizque,bo,-17.9425,-65.3419,49.93,84.0,31.0,1.43,49.93
19,buraydah,sa,26.3317,43.9717,94.57,9.0,0.0,10.42,94.57
20,mugur-aksy,ru,50.38,90.4417,58.57,45.0,34.0,6.69,58.57
21,punta arenas,cl,-53.1627,-70.9081,32.58,78.0,100.0,5.37,32.58
22,ushuaia,ar,-54.807,-68.3074,34.66,87.0,100.0,2.71,34.66
23,valkeala,fi,60.9377,26.8037,63.09,90.0,49.0,7.34,63.09
24,prieska,za,-29.6663,22.7444,37.87,82.0,0.0,8.16,37.87
26,kilindoni,tz,-7.9139,39.6668,77.14,74.0,30.0,9.17,77.14
28,bandarbeyla,so,9.4942,50.8122,91.47,41.0,91.0,34.02,91.47
29,cabo san lucas,mx,22.8938,-109.9112,79.23,70.0,37.0,10.13,79.23
31,nelson bay,au,-32.7219,152.1441,70.36,65.0,0.0,18.19,70.36
32,qaanaaq,gl,77.484,-69.3633,39.52,90.0,100.0,8.57,39.52
34,sao filipe,cv,14.8961,-24.4956,73.4,81.0,100.0,17.92,73.4
36,saldanha,za,-33.0117,17.9442,45.1,63.0,17.0,19.62,45.1
37,clyde river,ca,70.4692,-68.5915,40.03,75.0,8.0,2.04,40.03
38,port elizabeth,za,-33.918,25.5701,49.82,70.0,100.0,20.33,49.82
39,puerto ayora,ec,-0.7394,-90.3518,67.91,86.0,35.0,6.91,67.91
41,georgiyevka,kz,43.0369,74.7114,102.81,7.0,4.0,11.21,102.81
42,palmer,us,61.5996,-149.1111,59.79,91.0,86.0,4.81,59.79
43,barrow,us,39.5062,-90.4016,79.3,79.0,0.0,8.05,79.3
45,hilo,us,19.7072,-155.0817,71.1,64.0,9.0,17.76,71.1
46,albany,au,-35.0248,117.8836,55.76,70.0,66.0,15.97,55.76
47,illapel,cl,-31.6328,-71.1684,49.78,86.0,100.0,6.85,49.78
48,noumea,nc,-22.2764,166.4572,69.69,60.0,3.0,15.28,69.69
49,west wendover,us,40.7391,-114.0734,75.24,33.0,17.0,14.03,75.24
50,bluff,nz,-46.6,168.3333,49.3,87.0,100.0,13.35,49.3
51,bambous virieux,mu,-20.3428,57.7575,75.54,68.0,13.0,15.93,75.54
52,jamestown,sh,-15.9388,-5.7168,68.4,82.0,0.0,11.27,68.4
53,grindavik,is,63.8424,-22.4338,51.22,83.0,87.0,10.13,51.22
54,yellowknife,ca,62.4541,-114.3774,56.12,48.0,89.0,3.74,56.12
55,kirakira,sb,-10.4569,161.9202,78.26,84.0,43.0,17.25,78.26
56,torbay,ca,47.6577,-52.727,51.35,86.0,58.0,10.38,51.35
57,jambi,id,-1.6008,103.6209,97.95,51.0,100.0,4.7,97.95
58,guerrero negro,mx,27.971,-114.0364,66.52,84.0,0.0,18.01,66.52
59,tateyama,jp,36.6634,137.3139,82.69,90.0,100.0,1.3,82.69
63,corat,az,40.5725,49.7064,84.7,32.0,12.0,29.77,84.7
64,tautira,pf,-17.7334,-149.15,75.0,71.0,1.0,15.55,75.0
65,pasighat,in,28.0594,95.3326,84.34,76.0,86.0,3.56,84.34
67,mudgee,au,-32.5981,149.5886,62.65,52.0,0.0,4.63,62.65
68,santa cruz de tenerife,es,28.4682,-16.2547,66.22,87.0,100.0,6.42,66.22
69,busselton,au,-33.6445,115.3489,58.5,72.0,74.0,22.84,58.5
74,sao joao da barra,br,-21.6403,-41.0512,55.9,90.0,1.0,0.25,55.9
75,kodiak,us,39.9519,-94.7572,82.44,74.0,0.0,13.44,82.44
76,new norfolk,au,-42.7802,147.0615,55.11,64.0,65.0,4.41,55.11
77,carnarvon,au,-24.8667,113.6333,66.34,65.0,44.0,18.97,66.34
80,nouadhibou,mr,20.931,-17.0347,67.1,92.0,0.0,23.38,67.1
82,ust-maya,ru,60.4164,134.5365,59.18,41.0,28.0,7.45,59.18
83,hermanus,za,-34.4176,19.2361,47.77,57.0,49.0,14.79,47.77
85,waipawa,nz,-39.9412,176.5913,42.69,88.0,100.0,1.81,42.69
88,bonavista,ca,48.6542,-53.1104,49.69,92.0,8.0,11.83,49.69
89,tutoia,br,-2.762,-42.2745,70.2,92.0,67.0,2.73,70.2
90,dingle,ie,52.1408,-10.2689,58.39,80.0,61.0,12.77,58.39
91,lincoln,us,40.8,-96.6679,82.63,61.0,23.0,13.02,82.63
92,atuona,pf,-9.8,-139.0334,80.35,69.0,71.0,8.68,80.35
93,kayasula,ru,44.325,45.0,81.32,60.0,77.0,7.34,81.32
97,los lunas,us,34.8142,-106.7614,80.19,25.0,18.0,12.37,80.19
98,butaritari,ki,3.0707,172.7902,85.71,67.0,45.0,8.95,85.71
100,kruisfontein,za,-34.0034,24.7314,46.22,78.0,91.0,17.13,46.22
101,kaitangata,nz,-46.2818,169.8464,47.93,97.0,100.0,8.43,47.93
104,tiksi,ru,71.6366,128.8685,68.22,35.0,27.0,19.53,68.22
108,santo antonio do ica,br,-3.1023,-67.9398,70.63,95.0,86.0,3.02,70.63
109,bethel,us,60.7922,-161.7559,56.52,79.0,100.0,11.9,56.52
113,slave lake,ca,55.2811,-114.7718,57.09,80.0,72.0,4.94,57.09
114,arraial do cabo,br,-22.9663,-42.0245,65.8,74.0,79.0,19.75,65.8
116,cayenne,gf,4.9371,-52.3259,71.92,97.0,26.0,3.33,71.92
117,kariba,zw,-16.5273,28.7755,66.49,52.0,0.0,5.75,66.49
118,purpe,ru,64.4803,76.6897,91.09,37.0,61.0,6.42,91.09
119,yulara,au,-25.2411,130.9869,84.34,14.0,0.0,23.04,84.34
122,klaksvik,fo,62.2266,-6.5891,51.66,93.0,88.0,16.44,51.66
124,severo-kurilsk,ru,50.6789,156.125,45.79,94.0,100.0,4.27,45.79
126,conchal,br,-22.3376,-47.173,53.2,77.0,57.0,4.0,53.2
128,ahipara,nz,-35.1665,173.1562,58.71,76.0,11.0,15.05,58.71
129,manzhouli,cn,49.6,117.4333,71.71,75.0,74.0,7.38,71.71
131,vanimo,pg,-2.6741,141.3028,85.1,74.0,34.0,11.18,85.1
132,rawson,ar,-43.2992,-65.1057,36.28,56.0,0.0,10.47,36.28
133,talnakh,ru,69.494,88.3908,75.02,35.0,1.0,14.09,75.02
135,palora,ec,-1.6984,-77.9675,61.05,94.0,53.0,2.77,61.05
137,kawhia,nz,-38.0652,174.8183,54.32,74.0,0.0,22.46,54.32
138,edwardsville,us,38.8114,-89.9532,80.02,80.0,0.0,8.05,80.02
140,brae,gb,60.3964,-1.353,56.21,88.0,100.0,15.17,56.21
141,tharad,in,24.3897,71.6293,101.59,43.0,0.0,5.97,101.59
144,dikson,ru,73.5069,80.5464,42.69,81.0,93.0,17.87,42.69
146,hamadan,ir,34.7992,48.5146,93.16,11.0,0.0,18.97,93.16
148,lompoc,us,34.6392,-120.458,55.83,94.0,1.0,8.72,55.83
149,bathsheba,bb,13.2167,-59.5167,80.28,78.0,3.0,15.99,80.28
151,longview,us,32.5007,-94.7405,78.3,82.0,73.0,10.8,78.3
153,san policarpo,ph,12.1791,125.5072,83.95,78.0,71.0,6.69,83.95
154,sept-iles,ca,50.2001,-66.3821,54.5,97.0,100.0,1.41,54.5
156,lorengau,pg,-2.0226,147.2712,81.36,82.0,48.0,10.71,81.36
164,thompson,ca,55.7433,-97.8635,44.2,76.0,35.0,5.46,44.2
165,dunedin,nz,-45.874,170.5035,49.3,89.0,100.0,17.13,49.3
167,kamaishi,jp,39.2793,141.864,83.05,65.0,33.0,1.9,83.05
168,bubaque,gw,11.2833,-15.8334,78.33,80.0,86.0,10.31,78.33
169,vaitape,pf,-16.5167,-151.75,76.68,78.0,5.0,17.9,76.68
170,westport,nz,-41.7542,171.6036,43.84,92.0,100.0,3.33,43.84
171,turinsk,ru,58.0415,63.6976,88.16,70.0,44.0,6.55,88.16
172,rjukan,no,59.8818,8.5882,58.35,95.0,46.0,3.74,58.35
173,lavrentiya,ru,65.5842,-170.989,55.9,75.0,100.0,12.01,55.9
175,hobart,au,-42.8826,147.3281,55.11,64.0,65.0,4.41,55.11
